Attrition,BusinessTravel,Department,Education,EducationField,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
Yes,Travel_Rarely,Sales,5,Marketing,2,2,Sales Executive,1,6134,Yes,3,3,2,2
No,Travel_Rarely,Sales,4,Life Sciences,3,3,Sales Executive,4,7823,No,3,3,10,0
No,Non-Travel,Research & Development,1,Medical,2,3,Research Director,2,13757,No,3,3,9,4
Yes,Non-Travel,Research & Development,2,Life Sciences,2,1,Research Scientist,1,2107,No,3,1,1,0
Yes,Travel_Rarely,Research & Development,4,Technical Degree,3,1,Laboratory Technician,3,3441,Yes,3,2,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,1,3591,No,4,3,3,1
No,Travel_Rarely,Sales,4,Life Sciences,2,2,Sales Executive,4,8686,No,4,4,8,0
No,Travel_Rarely,Sales,2,Medical,3,2,Sales Executive,1,5473,No,3,4,8,7
No,Non-Travel,Research & Development,4,Technical Degree,3,2,Research Scientist,1,4087,No,3,2,6,1
No,Travel_Frequently,Research & Development,4,Other,3,1,Research Scientist,3,2821,No,3,3,2,2
Yes,Travel_Rarely,Sales,3,Marketing,3,1,Sales Representative,3,2851,Yes,3,3,1,0
No,Non-Travel,Sales,2,Life Sciences,2,2,Sales Executive,4,5249,No,3,3,8,7
Yes,Travel_Rarely,Sales,4,Marketing,2,3,Sales Executive,2,9094,Yes,3,3,5,1
Yes,Travel_Rarely,Sales,3,Marketing,3,2,Sales Executive,1,5324,No,3,3,3,0
Yes,Travel_Frequently,Sales,2,Technical Degree,3,2,Sales Executive,3,6796,Yes,3,3,4,1
Yes,Non-Travel,Research & Development,3,Medical,2,1,Research Scientist,2,1859,Yes,4,4,1,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,4,Research Director,3,17861,No,3,1,3,0
No,Travel_Rarely,Research & Development,4,Technical Degree,3,1,Research Scientist,4,4821,Yes,3,3,5,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,5,Research Director,3,19537,No,3,3,20,15
No,Travel_Rarely,Sales,2,Medical,3,2,Sales Executive,1,6125,No,3,4,10,9
No,Travel_Rarely,Research & Development,4,Medical,3,1,Laboratory Technician,3,2974,No,3,3,5,1
No,Travel_Frequently,Research & Development,2,Life Sciences,3,2,Research Scientist,3,4998,Yes,3,3,8,0
No,Travel_Rarely,Research & Development,2,Medical,3,2,Laboratory Technician,4,2741,Yes,3,4,7,3
No,Travel_Frequently,Research & Development,2,Life Sciences,3,2,Healthcare Representative,3,5968,No,4,3,9,2
No,Travel_Rarely,Research & Development,2,Medical,3,2,Healthcare Representative,3,6142,No,3,3,5,4
No,Travel_Frequently,Research & Development,3,Medical,3,2,Manufacturing Director,3,5042,No,3,1,9,3
No,Travel_Rarely,Human Resources,3,Life Sciences,1,3,Human Resources,3,9756,No,4,4,5,0
Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,1,1416,No,3,2,1,1
Yes,Travel_Frequently,Research & Development,5,Life Sciences,4,3,Manufacturing Director,2,7446,No,3,3,10,4
No,Travel_Rarely,Research & Development,3,Medical,3,4,Research Director,3,17639,No,3,3,4,0
Yes,Travel_Rarely,Research & Development,2,Medical,1,2,Healthcare Representative,2,4777,No,3,1,1,0
Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,2,Manufacturing Director,3,5916,Yes,3,3,1,0
No,Travel_Rarely,Sales,4,Marketing,3,2,Sales Executive,2,6214,No,3,3,8,0
No,Travel_Rarely,Research & Development,4,Medical,3,2,Research Scientist,1,4284,Yes,4,3,5,0
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,4,3310,No,4,3,5,0
No,Travel_Rarely,Human Resources,2,Medical,3,4,Manager,4,16437,Yes,4,3,21,7
No,Travel_Rarely,Sales,2,Marketing,2,2,Sales Executive,2,5507,No,3,1,4,1
No,Travel_Rarely,Sales,4,Marketing,3,5,Manager,1,18947,No,3,2,2,2
No,Travel_Rarely,Sales,3,Marketing,3,2,Sales Executive,3,9602,Yes,3,2,3,1
No,Travel_Rarely,Sales,4,Marketing,2,2,Sales Executive,1,4312,No,3,3,15,2
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Healthcare Representative,4,6623,Yes,3,3,6,1
No,Travel_Rarely,Research & Development,3,Medical,3,4,Manager,3,14756,Yes,3,3,5,0
No,Travel_Frequently,Research & Development,4,Life Sciences,4,2,Manufacturing Director,4,4724,No,3,3,9,7
No,Travel_Rarely,Sales,2,Life Sciences,3,2,Sales Executive,1,6500,No,3,3,3,1
No,Travel_Rarely,Research & Development,3,Technical Degree,1,3,Manufacturing Director,1,10252,Yes,4,3,7,7
No,Travel_Rarely,Research & Development,4,Medical,3,3,Manager,1,11916,Yes,4,3,9,0
No,Travel_Rarely,Research & Development,2,Medical,3,5,Manager,3,18606,No,3,3,7,4
No,Travel_Rarely,Human Resources,3,Human Resources,4,2,Human Resources,2,6389,No,3,1,8,3
No,Travel_Rarely,Sales,3,Life Sciences,3,4,Manager,4,17875,Yes,3,2,1,0
No,Travel_Rarely,Sales,1,Medical,3,1,Sales Representative,3,2096,No,3,3,7,0
Yes,Travel_Rarely,Sales,1,Life Sciences,2,3,Sales Executive,1,7336,No,3,1,11,3
No,Non-Travel,Research & Development,3,Life Sciences,2,1,Laboratory Technician,3,3162,No,3,3,5,0
No,Travel_Rarely,Sales,2,Life Sciences,3,3,Sales Executive,3,7082,Yes,3,3,2,0
No,Travel_Rarely,Human Resources,4,Life Sciences,2,2,Human Resources,3,5985,No,3,4,2,0
No,Travel_Rarely,Research & Development,2,Medical,4,2,Research Scientist,3,5175,No,3,2,5,1
No,Travel_Frequently,Research & Development,2,Medical,3,2,Laboratory Technician,4,4011,No,4,3,12,3
No,Travel_Rarely,Research & Development,4,Life Sciences,2,2,Manufacturing Director,3,5993,No,3,4,7,0
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,4,1232,No,3,3,0,0
No,Travel_Rarely,Sales,4,Marketing,3,4,Sales Executive,1,13341,No,3,3,20,11
No,Travel_Rarely,Sales,1,Technical Degree,3,1,Sales Representative,2,2476,No,3,3,1,0
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,4,7428,No,3,3,5,1
No,Travel_Rarely,Research & Development,4,Medical,3,3,Manufacturing Director,4,7143,Yes,3,2,11,4
No,Travel_Rarely,Sales,3,Life Sciences,2,2,Sales Executive,3,8620,No,3,3,10,0
No,Non-Travel,Research & Development,5,Medical,3,2,Research Scientist,3,4449,Yes,3,3,13,10
No,Travel_Rarely,Sales,3,Medical,3,2,Sales Executive,3,4591,Yes,3,2,5,1
No,Travel_Rarely,Sales,3,Marketing,2,3,Sales Executive,4,9071,Yes,3,3,3,1
No,Travel_Rarely,Research & Development,3,Medical,3,5,Manager,1,19045,Yes,3,3,36,4
No,Travel_Rarely,Research & Development,3,Medical,3,3,Manufacturing Director,2,7655,No,3,2,9,1
Yes,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,4,7654,No,3,4,9,7
No,Travel_Rarely,Sales,3,Medical,4,1,Sales Representative,4,2534,No,3,3,1,0
No,Travel_Rarely,Research & Development,4,Life Sciences,2,3,Healthcare Representative,3,10999,No,3,3,15,4
No,Travel_Rarely,Sales,4,Marketing,2,3,Sales Executive,3,8740,Yes,3,3,8,2
No,Non-Travel,Research & Development,4,Medical,3,2,Manufacturing Director,3,5258,No,3,4,1,0
No,Travel_Frequently,Sales,4,Marketing,3,2,Sales Executive,4,4648,No,3,4,0,0
No,Travel_Rarely,Research & Development,4,Medical,3,3,Research Director,3,13664,No,3,4,5,0
No,Travel_Rarely,Research & Development,3,Other,4,5,Manager,4,19202,No,3,3,24,1
Yes,Travel_Rarely,Sales,2,Medical,1,2,Sales Executive,4,5440,Yes,3,2,2,2
No,Travel_Rarely,Research & Development,5,Medical,1,2,Laboratory Technician,1,5769,Yes,3,3,10,1
No,Non-Travel,Sales,2,Marketing,3,2,Sales Executive,3,6932,No,3,2,9,0
No,Travel_Rarely,Research & Development,3,Other,3,2,Manufacturing Director,1,9957,No,3,2,6,0
No,Travel_Frequently,Research & Development,2,Life Sciences,3,1,Laboratory Technician,4,1702,Yes,4,3,1,0
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,4,3452,No,3,2,6,0
No,Travel_Frequently,Sales,1,Life Sciences,2,2,Sales Executive,3,5473,No,3,2,4,1
No,Travel_Rarely,Research & Development,4,Life Sciences,4,3,Manufacturing Director,1,9980,No,3,3,10,8
No,Travel_Rarely,Research & Development,3,Life Sciences,3,4,Manager,3,15379,No,3,3,8,0
No,Travel_Rarely,Research & Development,4,Medical,2,1,Laboratory Technician,2,3838,No,3,3,5,0
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,1,2066,No,4,4,3,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,3,Healthcare Representative,4,8500,No,3,2,9,1
No,Travel_Frequently,Research & Development,2,Medical,2,1,Laboratory Technician,3,2838,No,3,2,7,7
No,Non-Travel,Research & Development,4,Medical,2,4,Manufacturing Director,3,12965,Yes,4,2,3,0
No,Travel_Frequently,Research & Development,4,Life Sciences,4,2,Manufacturing Director,1,5980,Yes,3,3,15,4
Yes,Travel_Rarely,Human Resources,2,Technical Degree,2,1,Human Resources,4,2564,No,3,4,1,0
No,Travel_Rarely,Sales,4,Life Sciences,3,2,Sales Executive,4,4950,No,3,3,4,1
Yes,Travel_Frequently,Research & Development,3,Life Sciences,3,4,Healthcare Representative,4,12169,No,3,3,18,11
No,Travel_Rarely,Research & Development,4,Technical Degree,2,2,Healthcare Representative,3,4553,No,3,3,20,11
No,Travel_Rarely,Sales,3,Technical Degree,4,2,Sales Executive,4,6929,No,3,2,8,7
No,Travel_Frequently,Research & Development,1,Medical,3,1,Laboratory Technician,4,3812,No,3,4,11,3
No,Non-Travel,Research & Development,3,Medical,3,1,Research Scientist,3,1514,No,3,1,0,0
No,Travel_Frequently,Sales,3,Marketing,2,3,Sales Executive,1,10266,No,3,4,18,13
Yes,Travel_Frequently,Research & Development,4,Medical,2,2,Research Scientist,3,4508,No,4,3,13,3
No,Travel_Rarely,Research & Development,4,Medical,4,1,Laboratory Technician,4,4420,No,4,3,8,0
No,Travel_Rarely,Research & Development,3,Medical,3,2,Laboratory Technician,3,5429,No,3,3,8,7
No,Travel_Rarely,Research & Development,2,Medical,2,1,Research Scientist,3,3230,No,3,4,3,1
Yes,Travel_Frequently,Research & Development,3,Life Sciences,3,3,Healthcare Representative,3,9824,No,3,3,1,0
No,Travel_Rarely,Human Resources,1,Technical Degree,3,1,Human Resources,3,2696,Yes,3,3,3,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,4,Manufacturing Director,3,13973,Yes,3,3,12,1
No,Travel_Frequently,Research & Development,4,Medical,3,1,Laboratory Technician,3,2154,Yes,3,2,4,0
No,Travel_Rarely,Research & Development,3,Medical,3,3,Manufacturing Director,1,7406,Yes,4,2,10,5
No,Non-Travel,Research & Development,4,Medical,2,2,Manufacturing Director,3,4374,No,3,3,3,1
No,Travel_Frequently,Sales,3,Life Sciences,3,3,Sales Executive,3,8726,No,3,3,9,1
No,Travel_Rarely,Research & Development,1,Life Sciences,2,4,Healthcare Representative,3,13966,Yes,3,3,15,2
No,Non-Travel,Research & Development,4,Technical Degree,3,1,Research Scientist,2,2718,No,3,3,7,0
No,Travel_Frequently,Research & Development,4,Life Sciences,3,2,Research Scientist,3,4869,No,3,2,4,0
Yes,Travel_Frequently,Research & Development,2,Life Sciences,2,1,Laboratory Technician,3,2625,No,4,1,2,2
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Research Scientist,1,2956,No,3,3,1,0
Yes,Travel_Rarely,Sales,3,Marketing,2,2,Sales Executive,3,5744,Yes,3,3,6,0
No,Travel_Rarely,Sales,3,Life Sciences,2,2,Sales Executive,3,5484,No,3,2,13,4
Yes,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,4,10096,No,3,4,7,4
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,1,4257,Yes,3,3,2,2
Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,3,3730,Yes,3,1,3,1
No,Travel_Rarely,Sales,4,Life Sciences,2,2,Sales Executive,4,6120,Yes,3,4,5,1
Yes,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,1,4031,No,3,3,2,0
No,Travel_Rarely,Sales,3,Technical Degree,3,2,Sales Executive,3,8346,No,3,3,5,0
No,Travel_Rarely,Research & Development,1,Technical Degree,3,1,Laboratory Technician,4,2523,No,3,3,2,2
No,Travel_Rarely,Research & Development,4,Medical,3,5,Research Director,4,19627,No,3,3,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,2,2370,No,3,3,8,0
Yes,Travel_Rarely,Research & Development,3,Medical,3,2,Manufacturing Director,2,4855,No,3,3,5,1
No,Travel_Rarely,Sales,4,Life Sciences,4,2,Sales Executive,4,5337,No,3,3,10,5
No,Non-Travel,Sales,4,Life Sciences,3,2,Sales Executive,3,5154,No,4,4,8,5
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,1,2587,Yes,3,2,2,2
No,Travel_Rarely,Research & Development,2,Medical,2,2,Laboratory Technician,4,3986,No,3,4,15,4
No,Travel_Rarely,Research & Development,3,Medical,2,2,Manufacturing Director,4,6877,Yes,4,2,0,0
No,Travel_Rarely,Research & Development,2,Medical,2,1,Laboratory Technician,3,2206,No,3,3,10,1
No,Travel_Rarely,Research & Development,4,Other,3,2,Research Scientist,4,3902,No,3,3,2,2
No,Travel_Rarely,Research & Development,4,Life Sciences,2,4,Manager,3,17046,No,3,3,27,15
No,Travel_Rarely,Research & Development,4,Technical Degree,3,3,Manufacturing Director,2,8095,No,3,3,16,0
No,Travel_Rarely,Research & Development,3,Medical,4,2,Research Scientist,1,5974,Yes,3,3,7,6
No,Travel_Rarely,Research & Development,4,Life Sciences,3,4,Manager,1,16823,No,3,3,19,11
No,Travel_Rarely,Research & Development,4,Medical,3,1,Laboratory Technician,3,2660,Yes,3,3,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,2,3597,No,4,3,4,1
No,Travel_Rarely,Research & Development,4,Medical,4,2,Research Scientist,4,5055,No,3,2,7,0
No,Travel_Rarely,Sales,2,Technical Degree,3,1,Sales Representative,3,2308,Yes,4,3,11,5
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Research Scientist,4,5484,No,3,2,2,2
No,Travel_Rarely,Research & Development,2,Life Sciences,4,3,Healthcare Representative,4,9439,Yes,3,1,5,1
No,Travel_Rarely,Sales,1,Marketing,3,3,Sales Executive,3,10447,Yes,3,4,22,13
No,Travel_Frequently,Research & Development,1,Technical Degree,3,1,Research Scientist,4,3760,Yes,3,3,6,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,4,Manufacturing Director,2,13402,Yes,3,3,19,15
No,Travel_Rarely,Sales,4,Life Sciences,3,2,Sales Executive,4,5253,No,3,3,7,0
No,Travel_Rarely,Research & Development,2,Technical Degree,3,5,Manager,4,19232,No,3,3,22,11
No,Travel_Rarely,Research & Development,3,Life Sciences,3,3,Manufacturing Director,2,8376,No,3,3,2,2
No,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,2,8020,No,3,2,11,6
No,Non-Travel,Research & Development,3,Medical,3,1,Research Scientist,4,1706,No,3,2,0,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,3,Manufacturing Director,4,7945,Yes,3,2,4,3
No,Travel_Rarely,Research & Development,3,Technical Degree,2,3,Healthcare Representative,4,10496,No,3,3,4,1
Yes,Travel_Rarely,Research & Development,2,Medical,3,2,Healthcare Representative,2,8926,No,4,4,9,3
No,Travel_Rarely,Research & Development,3,Other,3,2,Research Scientist,3,3660,No,3,4,8,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Healthcare Representative,4,6513,No,3,3,5,0
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,1,7637,No,3,2,21,7
No,Travel_Rarely,Human Resources,3,Other,2,3,Human Resources,1,7988,No,3,2,10,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Research Scientist,1,5410,Yes,3,2,4,1
No,Travel_Rarely,Research & Development,1,Life Sciences,1,2,Manufacturing Director,2,6549,No,3,2,8,1
No,Non-Travel,Research & Development,3,Life Sciences,1,1,Research Scientist,3,2290,No,3,3,0,0
No,Travel_Rarely,Research & Development,2,Technical Degree,4,1,Laboratory Technician,2,2559,No,3,2,1,0
No,Travel_Frequently,Research & Development,3,Life Sciences,3,5,Manager,4,18430,No,3,2,24,14
No,Travel_Rarely,Research & Development,3,Medical,2,2,Laboratory Technician,4,5363,No,3,3,9,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Manufacturing Director,3,6553,No,3,3,1,0
No,Non-Travel,Research & Development,3,Medical,1,1,Laboratory Technician,3,3708,No,3,3,5,1
No,Travel_Frequently,Sales,2,Marketing,3,2,Sales Executive,4,4968,No,3,3,5,0
No,Travel_Rarely,Sales,3,Marketing,3,2,Sales Executive,1,4538,Yes,3,3,3,0
No,Travel_Rarely,Human Resources,3,Human Resources,2,5,Manager,3,19189,No,3,3,22,2
No,Travel_Rarely,Research & Development,3,Life Sciences,4,4,Research Director,3,14814,No,3,3,5,1
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,4,2496,No,3,3,1,0
No,Travel_Frequently,Sales,5,Life Sciences,3,3,Sales Executive,1,9069,No,4,2,9,1
No,Non-Travel,Research & Development,3,Medical,3,1,Laboratory Technician,4,2570,No,4,3,7,5
No,Travel_Frequently,Research & Development,2,Medical,3,1,Laboratory Technician,4,3673,No,3,3,12,5
No,Travel_Rarely,Research & Development,3,Life Sciences,3,5,Manager,1,19566,No,3,1,29,11
No,Travel_Frequently,Research & Development,3,Life Sciences,3,3,Healthcare Representative,4,10124,Yes,3,1,20,13
Yes,Travel_Frequently,Sales,2,Marketing,1,1,Sales Representative,3,2351,No,3,2,2,1
No,Travel_Rarely,Research & Development,1,Medical,3,1,Laboratory Technician,4,3669,No,3,2,3,1
No,Travel_Rarely,Sales,2,Marketing,3,3,Sales Executive,2,7351,No,3,3,1,0
No,Non-Travel,Research & Development,3,Medical,3,2,Manufacturing Director,1,9936,No,3,3,9,1
No,Non-Travel,Research & Development,3,Medical,3,1,Laboratory Technician,4,2564,No,3,2,11,6
No,Non-Travel,Sales,5,Medical,3,2,Sales Executive,4,6653,No,3,3,1,0
No,Travel_Rarely,Research & Development,1,Medical,4,2,Healthcare Representative,3,6377,No,4,3,12,11
No,Travel_Rarely,Human Resources,3,Human Resources,2,2,Human Resources,1,6410,No,3,3,2,1
No,Travel_Rarely,Research & Development,4,Life Sciences,3,3,Healthcare Representative,2,10466,No,3,3,8,0
No,Non-Travel,Research & Development,3,Medical,3,2,Laboratory Technician,2,2042,No,3,4,3,1
Yes,Travel_Frequently,Research & Development,3,Life Sciences,3,1,Laboratory Technician,3,2886,Yes,3,3,6,1
No,Non-Travel,Research & Development,4,Medical,3,3,Research Director,4,13603,Yes,3,3,5,0
Yes,Travel_Frequently,Sales,3,Technical Degree,3,2,Sales Executive,2,5765,No,3,1,5,0
No,Travel_Frequently,Research & Development,4,Life Sciences,2,2,Manufacturing Director,3,5321,No,3,3,8,7
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,1,2235,Yes,3,2,9,6
No,Travel_Rarely,Sales,4,Marketing,3,2,Sales Executive,1,4779,No,3,3,3,0
No,Travel_Rarely,Research & Development,2,Life Sciences,2,2,Research Scientist,2,5878,No,3,3,7,2
No,Non-Travel,Sales,2,Marketing,2,3,Sales Executive,4,10377,Yes,3,2,13,4
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Research Scientist,4,3452,No,3,3,3,0
No,Travel_Frequently,Research & Development,4,Medical,2,2,Laboratory Technician,3,5094,No,3,3,1,0
Yes,Travel_Rarely,Sales,4,Medical,3,2,Sales Executive,1,4233,No,3,1,3,1
No,Travel_Frequently,Research & Development,3,Medical,3,5,Manager,2,18061,No,4,3,0,0
No,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,4,9888,No,4,2,14,2
No,Travel_Rarely,Research & Development,3,Medical,1,2,Laboratory Technician,4,4272,No,3,3,1,0
No,Travel_Rarely,Research & Development,2,Medical,2,2,Laboratory Technician,3,3069,No,3,3,10,0
No,Non-Travel,Research & Development,4,Life Sciences,3,2,Healthcare Representative,3,6306,No,4,2,13,1
Yes,Travel_Rarely,Research & Development,1,Technical Degree,3,1,Laboratory Technician,4,3691,Yes,3,4,7,5
No,Travel_Rarely,Research & Development,3,Life Sciences,2,4,Manufacturing Director,4,13726,Yes,3,3,5,4
No,Travel_Rarely,Research & Development,4,Other,3,5,Manager,4,19513,Yes,3,4,2,0
Yes,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Laboratory Technician,1,2707,No,4,4,9,1
No,Travel_Frequently,Human Resources,3,Life Sciences,2,2,Human Resources,2,4490,No,3,4,10,1
Yes,Travel_Rarely,Sales,3,Technical Degree,2,2,Sales Executive,1,5326,No,3,2,4,1
No,Travel_Rarely,Research & Development,2,Life Sciences,4,5,Manager,1,19190,No,3,2,25,14
No,Travel_Rarely,Research & Development,3,Other,3,3,Manufacturing Director,3,9434,No,3,3,10,7
No,Travel_Rarely,Research & Development,3,Medical,3,2,Manufacturing Director,1,4440,Yes,3,3,5,1
No,Travel_Rarely,Research & Development,4,Life Sciences,2,1,Research Scientist,3,2768,No,3,3,7,5
No,Travel_Frequently,Research & Development,4,Life Sciences,4,2,Laboratory Technician,1,5562,Yes,3,3,3,0
No,Non-Travel,Research & Development,5,Life Sciences,2,2,Healthcare Representative,4,4876,No,3,1,3,0
No,Travel_Frequently,Sales,3,Medical,2,2,Sales Executive,2,5390,No,3,2,9,0
No,Non-Travel,Research & Development,3,Life Sciences,3,2,Laboratory Technician,2,6782,No,3,2,5,0
No,Travel_Rarely,Human Resources,4,Human Resources,2,5,Manager,4,19141,No,3,2,21,12
No,Non-Travel,Sales,4,Life Sciences,2,5,Manager,3,19068,Yes,3,4,33,15
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Laboratory Technician,4,5915,No,4,2,7,1
No,Travel_Rarely,Research & Development,2,Life Sciences,3,2,Manufacturing Director,1,6516,Yes,3,3,1,0
No,Travel_Rarely,Research & Development,2,Medical,3,2,Research Scientist,4,5775,No,3,3,10,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,4,2201,No,3,3,3,1
Yes,Travel_Rarely,Research & Development,3,Technical Degree,3,1,Research Scientist,3,2479,No,4,3,1,0
No,Travel_Frequently,Research & Development,4,Medical,3,1,Research Scientist,2,3617,Yes,3,3,1,0
No,Travel_Rarely,Research & Development,2,Life Sciences,2,4,Research Director,3,17603,No,4,3,14,6
No,Travel_Rarely,Sales,4,Marketing,2,2,Sales Executive,3,6334,No,3,3,1,0
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,2,3579,Yes,4,3,11,5
No,Non-Travel,Research & Development,3,Technical Degree,3,1,Research Scientist,3,1274,No,3,2,1,0
No,Travel_Frequently,Research & Development,4,Technical Degree,2,2,Healthcare Representative,3,5063,No,3,2,8,7
No,Travel_Frequently,Sales,1,Life Sciences,3,2,Sales Executive,4,9998,No,3,4,5,1
No,Travel_Rarely,Research & Development,2,Other,3,3,Laboratory Technician,2,7403,No,3,2,26,1
No,Travel_Rarely,Sales,4,Medical,3,5,Manager,4,19517,No,3,2,7,0
No,Non-Travel,Sales,4,Other,3,3,Sales Executive,1,8412,No,3,3,9,7
No,Travel_Frequently,Research & Development,3,Medical,3,2,Laboratory Technician,2,4425,No,3,3,6,1
No,Non-Travel,Sales,4,Marketing,3,2,Sales Executive,2,4978,No,3,1,1,0
