Attrition,BusinessTravel,Department,Education,EducationField,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
No,Travel_Rarely,Human Resources,3,Human Resources,3,2,Human Resources,4,6347,Yes,3,1,11,4
Yes,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,1,4200,No,4,4,5,0
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,4,3452,No,3,2,6,0
No,Travel_Rarely,Research & Development,5,Technical Degree,3,2,Research Scientist,3,4317,Yes,4,3,3,2
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,3,2632,No,3,2,5,0
No,Travel_Frequently,Sales,2,Medical,1,2,Sales Executive,4,4668,No,3,4,8,0
No,Travel_Rarely,Research & Development,3,Technical Degree,3,1,Research Scientist,1,3204,No,3,3,3,2
No,Travel_Rarely,Research & Development,1,Medical,2,1,Laboratory Technician,4,2720,No,3,3,5,1
No,Travel_Frequently,Research & Development,3,Life Sciences,2,4,Manager,1,17181,No,3,2,7,7
No,Travel_Rarely,Research & Development,4,Life Sciences,3,1,Laboratory Technician,1,2238,No,4,3,5,1
No,Travel_Rarely,Research & Development,1,Medical,3,1,Laboratory Technician,2,1483,No,3,3,1,0
No,Travel_Frequently,Research & Development,3,Medical,3,2,Research Scientist,2,5605,No,3,3,20,2
No,Travel_Rarely,Sales,5,Marketing,3,3,Sales Executive,2,7295,No,3,3,10,0
No,Travel_Rarely,Sales,2,Marketing,3,2,Sales Representative,3,2306,Yes,4,1,7,4
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Laboratory Technician,2,2348,No,3,1,17,0
No,Travel_Frequently,Sales,3,Marketing,3,3,Sales Executive,4,8998,No,3,3,9,3
No,Non-Travel,Research & Development,1,Technical Degree,3,2,Manufacturing Director,3,4319,No,3,3,10,0
No,Travel_Rarely,Research & Development,4,Medical,2,2,Manufacturing Director,3,6132,No,3,3,1,0
No,Travel_Rarely,Research & Development,3,Medical,2,1,Research Scientist,2,3346,Yes,4,2,1,0
No,Travel_Rarely,Sales,4,Marketing,2,3,Sales Executive,4,10855,No,3,2,12,2
No,Travel_Frequently,Sales,4,Marketing,3,1,Sales Representative,3,2231,No,3,3,4,1
No,Travel_Rarely,Research & Development,1,Medical,3,1,Research Scientist,4,2323,No,4,3,2,2
No,Non-Travel,Research & Development,3,Medical,3,1,Research Scientist,2,2024,No,3,1,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,4,2713,No,3,1,5,0
No,Travel_Rarely,Research & Development,2,Life Sciences,4,3,Healthcare Representative,4,9439,Yes,3,1,5,1
No,Non-Travel,Research & Development,3,Medical,2,1,Research Scientist,3,2566,Yes,3,2,1,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,5,Manager,2,19926,No,3,3,5,4
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,3,2451,No,3,3,9,1
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,4,9419,No,3,3,10,7
No,Travel_Rarely,Sales,4,Life Sciences,2,2,Sales Executive,4,8686,No,4,4,8,0
No,Travel_Rarely,Research & Development,5,Life Sciences,3,1,Research Scientist,3,3038,No,4,3,5,1
No,Travel_Rarely,Research & Development,3,Technical Degree,3,1,Research Scientist,2,3058,Yes,3,2,5,1
Yes,Travel_Frequently,Sales,1,Technical Degree,1,1,Sales Representative,1,2325,No,4,4,0,0
No,Travel_Frequently,Research & Development,2,Medical,3,1,Laboratory Technician,2,2088,No,3,2,8,7
No,Non-Travel,Research & Development,3,Medical,3,2,Laboratory Technician,1,3072,No,3,3,12,6
No,Travel_Rarely,Sales,2,Life Sciences,3,2,Sales Executive,1,5006,Yes,3,4,5,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,1,4257,Yes,3,3,2,2
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,4,2500,No,3,4,3,0
Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,4,1102,No,4,2,1,1
No,Travel_Rarely,Sales,2,Marketing,3,3,Sales Executive,1,10453,No,4,3,24,15
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Laboratory Technician,4,2288,No,3,3,2,2
No,Travel_Rarely,Research & Development,1,Medical,3,1,Research Scientist,4,3929,Yes,4,3,4,0
No,Travel_Rarely,Research & Development,2,Medical,3,1,Research Scientist,2,2311,No,3,3,3,1
Yes,Travel_Rarely,Sales,2,Marketing,3,1,Sales Representative,2,3140,Yes,4,2,4,0
No,Travel_Rarely,Research & Development,3,Medical,2,1,Laboratory Technician,3,3690,No,3,2,3,0
No,Travel_Rarely,Research & Development,2,Medical,4,2,Manufacturing Director,1,4450,No,3,3,4,1
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,2,2756,No,3,3,8,1
No,Travel_Rarely,Research & Development,1,Medical,3,5,Manager,3,19033,No,3,3,20,9
No,Travel_Rarely,Research & Development,4,Medical,4,5,Research Director,2,18722,No,3,3,24,2
No,Travel_Frequently,Research & Development,1,Life Sciences,2,2,Manufacturing Director,3,9547,No,3,2,10,1
No,Travel_Rarely,Research & Development,3,Medical,3,4,Healthcare Representative,2,13734,No,3,3,7,1
No,Travel_Rarely,Research & Development,4,Life Sciences,2,5,Manager,3,19999,No,3,3,33,11
No,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,2,2279,No,3,2,7,0
Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,2,Manufacturing Director,3,5916,Yes,3,3,1,0
No,Non-Travel,Research & Development,3,Medical,4,1,Research Scientist,4,2089,No,3,4,5,2
No,Non-Travel,Research & Development,2,Medical,2,4,Manager,4,16792,No,4,3,20,11
No,Travel_Rarely,Research & Development,3,Life Sciences,4,1,Research Scientist,1,3564,Yes,3,2,8,1
No,Travel_Frequently,Research & Development,3,Medical,3,2,Laboratory Technician,2,4425,No,3,3,6,1
No,Non-Travel,Research & Development,2,Medical,3,2,Manufacturing Director,3,5265,No,3,3,5,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Manufacturing Director,3,6553,No,3,3,1,0
No,Travel_Rarely,Research & Development,3,Technical Degree,3,2,Manufacturing Director,4,6261,No,3,1,7,1
No,Travel_Frequently,Research & Development,1,Technical Degree,2,2,Manufacturing Director,1,4298,No,3,3,2,2
No,Non-Travel,Research & Development,4,Life Sciences,3,2,Manufacturing Director,4,6804,Yes,3,3,7,1
No,Travel_Frequently,Research & Development,4,Medical,3,1,Research Scientist,3,3815,Yes,3,4,5,2
No,Travel_Rarely,Research & Development,2,Medical,3,2,Laboratory Technician,4,2741,Yes,3,4,7,3
Yes,Travel_Rarely,Research & Development,1,Medical,3,2,Healthcare Representative,1,6673,Yes,3,3,1,0
Yes,Travel_Rarely,Sales,3,Marketing,3,3,Sales Executive,4,7639,No,4,2,10,1
No,Travel_Rarely,Research & Development,3,Life Sciences,4,1,Research Scientist,2,2328,Yes,3,2,4,2
No,Travel_Frequently,Research & Development,1,Medical,3,1,Laboratory Technician,4,2153,No,3,3,8,1
No,Non-Travel,Research & Development,5,Life Sciences,2,2,Healthcare Representative,4,4876,No,3,1,3,0
No,Travel_Rarely,Research & Development,4,Medical,3,3,Healthcare Representative,1,9396,No,3,3,4,0
Yes,Travel_Rarely,Sales,4,Medical,1,3,Sales Executive,4,10400,No,3,2,14,9
No,Non-Travel,Research & Development,1,Life Sciences,2,3,Manufacturing Director,3,8474,No,4,3,11,5
No,Travel_Frequently,Sales,3,Life Sciences,3,2,Sales Executive,3,9981,No,3,3,7,0
No,Travel_Rarely,Research & Development,4,Life Sciences,2,3,Research Director,2,12490,No,3,1,10,4
Yes,Travel_Rarely,Research & Development,3,Technical Degree,3,1,Research Scientist,1,2657,Yes,3,3,5,0
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Manager,4,13591,Yes,3,3,1,0
Yes,Travel_Frequently,Sales,4,Marketing,2,2,Sales Executive,1,6696,No,3,2,6,0
Yes,Travel_Rarely,Research & Development,3,Technical Degree,3,1,Research Scientist,3,2058,No,3,2,6,1
No,Non-Travel,Sales,3,Medical,2,3,Sales Executive,4,8865,No,3,3,19,12
No,Travel_Rarely,Sales,3,Marketing,3,2,Sales Executive,1,5940,No,3,3,6,0
No,Travel_Rarely,Research & Development,2,Life Sciences,3,2,Laboratory Technician,2,5914,No,3,4,13,3
No,Travel_Rarely,Research & Development,4,Medical,2,1,Research Scientist,2,2622,No,4,3,3,1
No,Travel_Frequently,Research & Development,3,Other,3,3,Research Director,4,12185,Yes,3,3,10,0
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,3,10609,No,3,2,16,5
No,Non-Travel,Research & Development,4,Medical,1,2,Manufacturing Director,3,4345,No,3,3,5,1
No,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Research Scientist,4,2177,No,3,3,1,0
No,Travel_Frequently,Sales,4,Marketing,3,1,Sales Representative,4,2793,No,3,3,9,5
No,Travel_Frequently,Sales,1,Medical,3,3,Sales Executive,4,7918,No,3,3,11,4
No,Travel_Frequently,Sales,3,Marketing,3,3,Sales Executive,3,8789,No,3,4,10,0
Yes,Travel_Rarely,Research & Development,1,Medical,2,1,Research Scientist,4,2389,Yes,3,2,4,0
No,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,4,3212,No,3,2,2,2
No,Travel_Rarely,Research & Development,2,Technical Degree,3,5,Manager,4,19232,No,3,3,22,11
No,Travel_Rarely,Human Resources,2,Medical,3,1,Human Resources,3,2267,No,3,2,2,2
No,Travel_Rarely,Sales,4,Medical,3,5,Manager,4,19517,No,3,2,7,0
Yes,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,4,2436,Yes,3,1,5,0
No,Travel_Rarely,Sales,3,Marketing,3,4,Manager,4,16064,Yes,4,3,17,1
Yes,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Laboratory Technician,1,2707,No,4,4,9,1
No,Non-Travel,Sales,4,Life Sciences,2,5,Manager,3,19068,Yes,3,4,33,15
No,Travel_Rarely,Sales,2,Life Sciences,3,1,Sales Representative,2,3931,No,3,3,4,1
Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,3,3730,Yes,3,1,3,1
No,Travel_Rarely,Research & Development,4,Medical,3,1,Laboratory Technician,3,2232,No,3,3,3,1
No,Non-Travel,Sales,4,Marketing,3,2,Sales Executive,4,4465,No,3,3,3,2
No,Travel_Rarely,Research & Development,2,Life Sciences,3,2,Research Scientist,1,3072,No,3,2,1,0
No,Travel_Rarely,Research & Development,2,Technical Degree,3,2,Research Scientist,4,3319,No,3,3,9,4
No,Travel_Rarely,Research & Development,3,Other,4,5,Manager,4,19202,No,3,3,24,1
No,Travel_Frequently,Research & Development,4,Medical,3,3,Research Director,3,13675,No,3,3,2,2
No,Travel_Rarely,Research & Development,4,Life Sciences,2,1,Research Scientist,4,2911,No,3,2,2,0
No,Travel_Rarely,Research & Development,4,Life Sciences,2,2,Manufacturing Director,1,5957,No,3,3,11,5
No,Travel_Rarely,Research & Development,2,Medical,2,1,Research Scientist,1,3920,No,3,2,3,0
No,Travel_Frequently,Research & Development,4,Life Sciences,4,2,Manufacturing Director,3,6434,No,3,3,3,0
Yes,Travel_Frequently,Research & Development,3,Medical,3,3,Manufacturing Director,3,10048,No,3,3,1,0
No,Travel_Frequently,Research & Development,4,Technical Degree,3,3,Healthcare Representative,3,10938,No,4,3,19,11
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,4,2340,No,3,3,6,1
No,Travel_Rarely,Research & Development,2,Life Sciences,4,2,Research Scientist,1,6545,Yes,3,3,3,0
No,Travel_Rarely,Sales,2,Marketing,3,2,Sales Executive,4,6931,No,3,3,3,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Manufacturing Director,3,4898,No,3,3,4,1
No,Travel_Rarely,Research & Development,3,Medical,2,1,Laboratory Technician,1,2593,Yes,3,3,9,7
No,Travel_Rarely,Research & Development,2,Medical,3,5,Research Director,3,19436,No,3,3,21,3
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,4,2723,No,3,2,1,0
Yes,Travel_Frequently,Research & Development,2,Medical,2,1,Laboratory Technician,2,3479,No,3,4,5,1
No,Travel_Frequently,Research & Development,3,Life Sciences,4,1,Laboratory Technician,2,2794,No,4,1,5,0
No,Non-Travel,Sales,2,Life Sciences,2,2,Sales Executive,4,5249,No,3,3,8,7
No,Travel_Rarely,Research & Development,1,Technical Degree,2,2,Laboratory Technician,1,2176,No,3,3,6,0
No,Travel_Rarely,Sales,3,Technical Degree,1,4,Manager,2,16872,Yes,3,2,7,7
Yes,Travel_Rarely,Research & Development,4,Life Sciences,3,1,Laboratory Technician,3,3485,No,3,1,0,0
No,Travel_Rarely,Sales,3,Medical,2,2,Sales Executive,2,6644,No,3,3,0,0
No,Travel_Rarely,Research & Development,3,Medical,2,2,Healthcare Representative,4,5582,No,4,3,9,7
No,Non-Travel,Research & Development,2,Life Sciences,4,2,Healthcare Representative,1,4000,No,3,3,6,1
No,Travel_Rarely,Research & Development,2,Medical,3,4,Healthcare Representative,4,13496,Yes,3,3,20,4
